task_id,domain,difficulty,model,agent,provider,provider_model,parse_status,json_repair_strategy,json_repair_attempts,llm_error,parsed,fallback,attempts,latency_s,prompt_chars,raw_output_chars,prompt_tokens,completion_tokens,total_tokens
calendar_060,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.765703199998825,2020.0,1041.0,463.0,1043.0,1506.0
calendar_022,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.050991000000067,2002.0,1440.0,451.0,750.0,1201.0
calendar_038,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.14797879999969,2040.0,1252.0,459.0,910.0,1369.0
calendar_057,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.186652199998207,2038.0,1725.0,459.0,935.0,1394.0
calendar_070,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.743942700002663,2067.0,1709.0,463.0,916.0,1379.0
calendar_039,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.572894600001746,2013.0,1175.0,452.0,939.0,1391.0
calendar_068,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,19.042454700000235,2049.0,1786.0,463.0,1065.0,1528.0
calendar_049,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.526678500002163,2020.0,1142.0,454.0,960.0,1414.0
calendar_066,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.63651740000205,2063.0,1326.0,462.0,955.0,1417.0
calendar_027,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,24.703461499997502,1987.0,1765.0,449.0,1282.0,1731.0
calendar_047,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.218650500002695,1999.0,1118.0,450.0,883.0,1333.0
calendar_076,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.99331220000022,2009.0,1212.0,456.0,972.0,1428.0
calendar_051,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.17134839999926,1967.0,1773.0,445.0,987.0,1432.0
calendar_030,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.07410610000079,2009.0,1459.0,453.0,862.0,1315.0
calendar_033,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.456033400001616,2019.0,1493.0,456.0,1185.0,1641.0
calendar_075,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.75744289999784,2024.0,1448.0,453.0,1254.0,1707.0
calendar_064,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,26.074862600002234,2013.0,1038.0,461.0,1365.0,1826.0
calendar_061,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,19.455709699999716,2023.0,1734.0,460.0,1055.0,1515.0
calendar_036,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.966512599999987,1992.0,1476.0,457.0,1063.0,1520.0
calendar_083,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,29.549606500000664,1987.0,1488.0,446.0,1578.0,2024.0
calendar_042,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.21757030000299,2011.0,1917.0,452.0,1103.0,1555.0
calendar_055,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.987751600001502,1995.0,1555.0,448.0,1083.0,1531.0
calendar_029,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.897672600000078,2014.0,2110.0,455.0,1076.0,1531.0
calendar_032,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,23.7538687999986,1997.0,1577.0,458.0,1334.0,1792.0
calendar_077,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.742916300001525,2031.0,1361.0,456.0,1159.0,1615.0
calendar_043,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,29.687418200002867,1977.0,1289.0,447.0,1580.0,2027.0
calendar_059,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,outer_slice+repair,4,,True,False,1.0,40.78048779999881,2026.0,1100.0,457.0,2400.0,2857.0
calendar_073,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,25.94252249999772,2052.0,2123.0,458.0,1398.0,1856.0
calendar_062,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,26.8871928999979,2034.0,1068.0,460.0,1527.0,1987.0
calendar_072,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,24.48271139999997,2041.0,1620.0,465.0,1391.0,1856.0
calendar_040,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,26.200452199998836,2012.0,1041.0,460.0,1416.0,1876.0
calendar_079,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,25.92612949999966,1981.0,1338.0,445.0,1347.0,1792.0
calendar_082,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,25.088572000000568,2000.0,1610.0,449.0,1448.0,1897.0
calendar_052,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,27.881229099999473,1952.0,1202.0,449.0,1481.0,1930.0
calendar_053,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,30.037099900000612,1987.0,1329.0,451.0,1644.0,2095.0
calendar_035,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,33.10933909999949,2003.0,1484.0,453.0,1947.0,2400.0
calendar_023,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,30.32778160000089,1995.0,1583.0,448.0,1644.0,2092.0
calendar_037,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,35.10054339999988,2026.0,2062.0,457.0,2068.0,2525.0
calendar_025,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,34.14642939999976,1989.0,1767.0,454.0,1964.0,2418.0
calendar_034,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw+repair,2,,True,False,1.0,44.11405939999895,2016.0,1847.0,456.0,2400.0,2856.0
calendar_074,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,39.09021980000034,2060.0,2623.0,459.0,2292.0,2751.0
calendar_071,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw+repair,2,,True,False,1.0,40.35629440000048,2045.0,1237.0,460.0,2400.0,2860.0
calendar_067,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,fallback,,0,No parseable JSON object found in model output; attempts=[]; last_error=,False,True,1.0,41.471276000000216,2032.0,0.0,453.0,2400.0,2853.0
calendar_063,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw+repair,2,,True,False,1.0,41.764023600000655,2011.0,1759.0,454.0,2400.0,2854.0
calendar_021,calendar,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,fallback,,0,No parseable JSON object found in model output; attempts=[]; last_error=,False,True,1.0,42.80889820000084,2008.0,0.0,456.0,2400.0,2856.0
calendar_085,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.614234900000156,2002.0,2206.0,451.0,702.0,1153.0
calendar_088,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,8.599495900001784,2029.0,832.0,460.0,482.0,942.0
calendar_086,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.288201300001674,2042.0,1352.0,458.0,834.0,1292.0
calendar_119,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.136939099997107,2084.0,1409.0,467.0,1022.0,1489.0
calendar_092,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.234253799997532,1998.0,1700.0,458.0,614.0,1072.0
calendar_110,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,9.087552299999516,2109.0,1269.0,474.0,518.0,992.0
calendar_090,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.312873999999283,2042.0,1455.0,458.0,820.0,1278.0
calendar_087,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.014486500000203,2019.0,1174.0,451.0,1088.0,1539.0
calendar_100,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,8.072636999997485,2060.0,1070.0,468.0,436.0,904.0
crm_workflow_021,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.626184500000818,1955.0,1389.0,470.0,944.0,1414.0
crm_workflow_028,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.349457299998903,1987.0,1456.0,472.0,1056.0,1528.0
calendar_089,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.356996999998955,2047.0,1810.0,460.0,918.0,1378.0
calendar_091,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.24881649999952,1984.0,1543.0,450.0,1329.0,1779.0
calendar_108,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.92511409999861,2080.0,1492.0,473.0,622.0,1095.0
calendar_120,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.115704699997877,2078.0,1060.0,473.0,737.0,1210.0
crm_workflow_026,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.096636300000682,1969.0,1470.0,469.0,1057.0,1526.0
calendar_094,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.813119000002189,1994.0,2140.0,452.0,826.0,1278.0
calendar_109,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.581133100000443,2098.0,1195.0,473.0,674.0,1147.0
calendar_105,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,23.05886829999872,2081.0,1357.0,471.0,1310.0,1781.0
calendar_111,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,14.723801000000094,2069.0,1267.0,468.0,859.0,1327.0
calendar_115,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.479964400001336,2068.0,1680.0,466.0,744.0,1210.0
calendar_101,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.977484800001548,2104.0,950.0,474.0,1165.0,1639.0
calendar_096,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.84346739999819,2007.0,1475.0,460.0,917.0,1377.0
calendar_106,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.788022199998522,2101.0,1766.0,470.0,811.0,1281.0
calendar_112,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.160769100002653,2081.0,1758.0,476.0,788.0,1264.0
crm_workflow_031,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.060717400003341,1949.0,1748.0,471.0,723.0,1194.0
calendar_117,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.83208790000208,2093.0,1536.0,471.0,658.0,1129.0
calendar_102,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.595065800000157,2101.0,2023.0,471.0,1070.0,1541.0
calendar_095,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.830301599999075,1987.0,1417.0,449.0,1259.0,1708.0
crm_workflow_027,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.258651699998154,1957.0,726.0,473.0,620.0,1093.0
calendar_116,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.221566399999574,2075.0,1687.0,473.0,711.0,1184.0
calendar_093,calendar,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,24.264848699996946,2005.0,1654.0,455.0,1489.0,1944.0
calendar_098,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.88354459999755,2096.0,1599.0,471.0,1235.0,1706.0
calendar_103,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,19.776723999999376,2065.0,1689.0,469.0,1173.0,1642.0
calendar_107,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,19.441150099999504,2081.0,1777.0,466.0,1177.0,1643.0
crm_workflow_034,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.435582499998418,1953.0,993.0,466.0,984.0,1450.0
calendar_099,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,23.50482330000159,2063.0,2126.0,464.0,1431.0,1895.0
calendar_097,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.702652699997998,2082.0,1546.0,469.0,1274.0,1743.0
calendar_118,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.423780500001158,2095.0,1767.0,471.0,868.0,1339.0
calendar_114,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,19.99642660000245,2102.0,1270.0,474.0,1143.0,1617.0
crm_workflow_038,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.78353860000061,1977.0,1623.0,469.0,951.0,1420.0
calendar_104,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.71742350000204,2076.0,1576.0,478.0,1365.0,1843.0
crm_workflow_032,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.01055329999872,1975.0,1096.0,470.0,1007.0,1477.0
crm_workflow_036,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,23.70531050000136,1958.0,1528.0,470.0,1470.0,1940.0
crm_workflow_043,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,9.082204599999386,1936.0,874.0,467.0,485.0,952.0
crm_workflow_022,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.955145200001425,1956.0,1064.0,465.0,1027.0,1492.0
crm_workflow_040,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.735231200000271,1988.0,1337.0,473.0,752.0,1225.0
crm_workflow_024,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.048317299999326,1971.0,1251.0,471.0,1226.0,1697.0
crm_workflow_033,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.78603320000184,1957.0,1569.0,467.0,950.0,1417.0
crm_workflow_029,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,23.715672400001495,1960.0,1378.0,467.0,1464.0,1931.0
crm_workflow_035,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,16.73958599999969,1952.0,1646.0,471.0,988.0,1459.0
crm_workflow_025,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.22989719999896,1941.0,1094.0,468.0,1262.0,1730.0
crm_workflow_023,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,29.882727799998975,1961.0,974.0,470.0,1844.0,2314.0
crm_workflow_041,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.020763400003489,1943.0,1320.0,464.0,599.0,1063.0
crm_workflow_039,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,35.562806800000544,1967.0,2157.0,473.0,2254.0,2727.0
crm_workflow_042,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.262835300000006,1949.0,2034.0,464.0,911.0,1375.0
crm_workflow_044,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.772303000001557,1959.0,1475.0,467.0,721.0,1188.0
crm_workflow_030,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,31.76541559999896,1964.0,1445.0,468.0,1965.0,2433.0
crm_workflow_037,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,24.67481300000145,1962.0,2054.0,468.0,1573.0,2041.0
crm_workflow_047,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,17.257941100000608,1961.0,1575.0,470.0,978.0,1448.0
crm_workflow_046,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,12.603786799998488,1958.0,1504.0,466.0,755.0,1221.0
crm_workflow_045,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.968162700002722,1924.0,806.0,464.0,695.0,1159.0
calendar_113,calendar,L4,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,35.35407999999734,2108.0,1797.0,476.0,2085.0,2561.0
crm_workflow_050,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.336001800002123,1974.0,1310.0,468.0,719.0,1187.0
crm_workflow_048,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.98208440000235,1985.0,1329.0,473.0,1324.0,1797.0
crm_workflow_053,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,10.382154299997637,1929.0,887.0,462.0,635.0,1097.0
crm_workflow_052,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.573259699998744,1940.0,1124.0,465.0,843.0,1308.0
crm_workflow_049,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,13.634875800002192,1964.0,690.0,468.0,806.0,1274.0
crm_workflow_055,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,9.66637400000036,1959.0,1033.0,472.0,517.0,989.0
crm_workflow_058,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,20.763849400002073,1988.0,1338.0,474.0,1254.0,1728.0
crm_workflow_071,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,11.410468400001264,2006.0,848.0,482.0,650.0,1132.0
crm_workflow_051,crm_workflow,L2,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,22.687002099999518,1929.0,1378.0,469.0,1438.0,1907.0
crm_workflow_070,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,8.867058399999223,2016.0,1095.0,477.0,531.0,1008.0
crm_workflow_059,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,18.35139540000091,1983.0,781.0,478.0,1076.0,1554.0
crm_workflow_088,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.700468800001545,2015.0,1152.0,477.0,924.0,1401.0
crm_workflow_072,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,15.416020599997864,2019.0,1721.0,482.0,895.0,1377.0
crm_workflow_056,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,25.10239830000137,2009.0,1531.0,477.0,1491.0,1968.0
crm_workflow_092,crm_workflow,L3,deepseek_v4_flash,direct,openai_compatible,deepseek-v4-flash,parsed,raw,1,,True,False,1.0,21.494872200000827,1978.0,1137.0,474.0,1233.0,1707.0
